0,1
10,2
22,3
36,4
51,5
69,6
88,7
109,8
132,9
157,10
184,11
212,12
243,13
275,14
309,15
345,16
383,17
423,18
464,19
508,20
553,21
600,22
649,23
700,24
753,25
807,26
864,27
922,28
982,29
1044,30
1108,31
1174,32
1241,33
1311,34
1382,35
1455,36
1530,37
1607,38
1686,39
1766,40
1849,41
1933,42
2019,43
2107,44
2197,45
2289,46
2382,47
2478,48
2575,49
2674,50
2775,51
2878,52
2983,53
3089,54
3198,55
3308,56
3420,57
3534,58
3650,59
3768,60
3888,61
4009,62
4132,63
4257,64
4384,65
4513,66
4644,67
4777,68
4911,69
5047,70
5185,71
5326,72
5467,73
5611,74
5757,75
5904,76
6053,77
6205,78
6358,79
6512,80
6669,81
6828,82
6988,83
7151,84
7315,85
7481,86
7649,87
7818,88
7990,89
8163,90
8339,91
8516,92
8695,93
8876,94
9058,95
9243,96
9430,97
9618,98
9808,99
10000,100
